Time,ID,world_x,world_y,world_z
281.7,523024,6.721,-8.03,0.0
281.733,523024,6.749,-7.959,0.0
281.766,523024,6.716,-7.96,0.0
281.8,523024,6.683,-7.961,0.0
281.833,523024,6.65,-7.962,0.0
281.866,523024,6.618,-7.963,0.0
281.9,523024,6.585,-7.964,0.0
281.933,523024,6.552,-7.965,0.0
281.966,523024,6.519,-7.966,0.0
282.033,523024,6.519,-7.966,0.0
282.067,523024,6.711,-7.755,0.0
282.1,523024,6.766,-7.675,0.0
282.134,523024,6.821,-7.596,0.0
282.167,523024,6.875,-7.516,0.0
282.2,523024,6.93,-7.436,0.0
282.234,523024,6.985,-7.357,0.0
282.267,523024,7.04,-7.277,0.0
282.3,523024,7.094,-7.197,0.0
282.334,523024,7.149,-7.118,0.0
282.367,523024,7.204,-7.038,0.0
282.4,523024,7.259,-6.958,0.0
282.434,523024,7.313,-6.879,0.0
282.467,523024,7.368,-6.799,0.0
282.5,523024,7.423,-6.719,0.0
282.534,523024,7.478,-6.64,0.0
282.567,523024,7.533,-6.56,0.0
282.6,523024,7.587,-6.48,0.0
282.634,523024,7.642,-6.401,0.0
282.667,523024,7.697,-6.321,0.0
282.7,523024,7.752,-6.241,0.0
282.734,523024,7.806,-6.162,0.0
282.767,523024,7.861,-6.082,0.0
282.8,523024,7.916,-6.002,0.0
282.834,523024,7.971,-5.922,0.0
282.867,523024,8.025,-5.843,0.0
282.9,523024,8.08,-5.763,0.0
282.934,523024,8.135,-5.683,0.0
282.967,523024,8.19,-5.604,0.0
283.0,523024,8.244,-5.524,0.0
283.034,523024,8.299,-5.444,0.0
283.067,523024,8.354,-5.365,0.0
283.1,523024,8.409,-5.285,0.0
283.134,523024,8.464,-5.205,0.0
283.167,523024,8.518,-5.126,0.0
283.2,523024,8.573,-5.046,0.0
283.234,523024,8.628,-4.966,0.0
283.267,523024,8.683,-4.887,0.0
283.3,523024,8.737,-4.807,0.0
283.334,523024,8.792,-4.727,0.0
283.367,523024,8.847,-4.648,0.0
283.4,523024,8.902,-4.568,0.0
283.434,523024,8.956,-4.488,0.0
283.467,523024,9.011,-4.409,0.0
283.5,523024,9.066,-4.329,0.0
283.567,523024,9.066,-4.329,0.0
283.6,523024,9.075,-4.323,0.0
283.633,523024,9.001,-4.349,0.0
283.667,523024,8.584,-4.63,0.0
283.7,523024,9.335,-4.042,0.0
283.733,523024,9.355,-4.019,0.0
283.767,523024,9.487,-3.94,0.0
283.8,523024,9.48,-3.945,0.0
283.833,523024,9.572,-3.809,0.0
283.867,523024,9.597,-3.75,0.0
283.9,523024,9.77,-3.636,0.0
283.933,523024,9.776,-3.595,0.0
283.967,523024,9.778,-3.519,0.0
284.0,523024,9.778,-3.519,0.0
284.033,523024,9.912,-3.425,0.0
284.067,523024,10.006,-3.353,0.0
284.1,523024,10.029,-3.299,0.0
284.133,523024,10.036,-3.256,0.0
284.166,523024,10.29,-3.074,0.0
284.233,523024,10.29,-3.074,0.0
284.267,523024,10.326,-3.016,0.0
284.3,523024,10.407,-2.9,0.0
284.333,523024,10.482,-2.859,0.0
284.367,523024,10.554,-2.795,0.0
284.4,523024,10.554,-2.795,0.0
284.433,523024,10.603,-2.733,0.0
284.467,523024,10.62,-2.686,0.0
284.5,523024,10.636,-2.612,0.0
284.533,523024,10.783,-2.528,0.0
284.566,523024,10.785,-2.504,0.0
284.6,523024,10.788,-2.479,0.0
284.667,523024,10.788,-2.479,0.0
284.7,523024,10.763,-2.468,0.0
284.733,523024,10.589,-2.447,0.0
284.766,523024,10.488,-2.428,0.0
284.833,523024,10.488,-2.428,0.0
